Job ID,Job Title,Salary,Skills,Location,Years of Experience,Company Name,Mode of Work,skills_tokens,job_title_tokens
1,Public Health Official,$58667,"Emergency Response, Disease Prevention, Public Health Surveillance, Epidemiology","Memphis, TN",2,Shadowfax Technologies,Remote,"[101, 5057, 3433, 1010, 4295, 9740, 1010, 2270, 2740, 9867, 1010, 4958, 5178, 4328, 6779, 102]","[101, 2270, 2740, 2880, 102]"
2,Senior Human Resources Manager,$43448,"Workforce Planning, Employee Engagement, Diversity and Inclusion","Des Moines, IA",8,Titan Tech,Remote,"[101, 14877, 4041, 1010, 7904, 8147, 1010, 8906, 1998, 10502, 102]","[101, 3026, 2529, 4219, 3208, 102]"
3,Senior Data Security Analyst,$243296,"Penetration Testing, Data Privacy, Network Security","Las Vegas, NV",12,SalesForce,Onsite,"[101, 20015, 5604, 1010, 2951, 9394, 1010, 2897, 3036, 102]","[101, 3026, 2951, 3036, 12941, 102]"
4,Sales Associate,$69589,"Product Presentation, Lead Generation, Market Analysis, Client Relationship Management, Negotiation","Raleigh, NC",2,GoldenGate Tech,Onsite,"[101, 4031, 8312, 1010, 2599, 4245, 1010, 3006, 4106, 1010, 7396, 3276, 2968, 1010, 19905, 102]","[101, 4341, 5482, 102]"
5,Senior UX Designer,$207321,"Interaction Design, Prototype Design, Photoshop, Sketch, Accessibility Design","Stamford, CT",9,GreenTech Innovations,Onsite,"[101, 8290, 2640, 1010, 8773, 2640, 1010, 7760, 18471, 1010, 11080, 1010, 23661, 2640, 102]","[101, 3026, 1057, 2595, 5859, 102]"
6,Senior Systems Analyst,$178292,"ERP Systems, SQL, Oracle Applications","Topeka, KS",11,Agile Development Co.,Remote,"[101, 9413, 2361, 3001, 1010, 29296, 1010, 14721, 5097, 102]","[101, 3026, 3001, 12941, 102]"
7,Senior 3D Animator,$217557,"Texturing, 3D Rendering, Motion Capture","Buffalo, NY",12,MarketHigh,Remote,"[101, 3793, 12228, 1010, 7605, 14259, 1010, 4367, 5425, 102]","[101, 3026, 7605, 25132, 102]"
8,Video Game Designer,$117404,"Game Mechanics, Interactive Storytelling, Game Testing, Programming","Norman, OK",2,Summit Securities,Hybrid,"[101, 2208, 9760, 1010, 9123, 20957, 1010, 2208, 5604, 1010, 4730, 102]","[101, 2678, 2208, 5859, 102]"
9,Senior Human Resources Manager,$75990,"Training, Compliance, Workforce Planning, Employee Engagement","Eugene, OR",6,Nova Mechanics,Onsite,"[101, 2731, 1010, 12646, 1010, 14877, 4041, 1010, 7904, 8147, 102]","[101, 3026, 2529, 4219, 3208, 102]"
10,Senior Environmental Scientist,$107935,"Pollution Control, Environmental Analysis, Environmental Policy, Ecology","Orlando, FL",8,MarketHigh,Remote,"[101, 10796, 2491, 1010, 4483, 4106, 1010, 4483, 3343, 1010, 13517, 102]","[101, 3026, 4483, 7155, 102]"
