Job ID,Job Title,Salary,Skills,Location,Years of Experience,Company Name,Mode of Work
1,Corporate Lawyer,$43236,"Corporate Finance Law, Intellectual Property, M&A, Securities Regulation, Compliance","Bismarck, ND",1,DataDriven Insights,Hybrid
2,Project Manager,$148750,"Project Planning, Resource Allocation, Performance Tracking, Agile Scrum Master, Budgeting","New Orleans, LA",5,Sapphire Systems,Remote
3,Microsoft CRM Developer,$118174,"C#, Canvas, Automated Testing, Javascript","Houston, TX",3,ProductPros,Remote
4,Executive Cloud Engineer,$167566,"AWS, Cloud Security, DevOps, Google Cloud","Huntington, WV",16,Platinum Enterprises,Remote
5,Executive Data Analyst,$151955,"Data Visualization, Tableau, R, Power BI, Pandas","Buffalo, NY",12,AlphaBuild,Onsite
6,Executive Marketing Specialist,$199309,"Content Creation, Digital Marketing, Email Marketing, Marketing Strategy, AdWords","Dover, DE",15,New Horizons Systems,Onsite
7,Executive User Experience Designer,$210086,"Wireframing, Sketch, Interaction Design, Prototyping","Kailua, HI",20,Quantum Realty,Onsite
8,Real Estate Agent,$149485,"Sales, Negotiation, Market Analysis","Pierre, SD",3,Ethereal Arts,Onsite
9,Senior Mobile App Developer,$185102,"React Native, Kotlin, Mobile UI/UX Design, Mobile Development","Lewiston, ME",9,Pegasus Properties,Hybrid
10,Senior Business Analyst,$107453,"SDLC, Data Analysis, Requirement Gathering","Fayetteville, AR",7,Aurora Analytics,Onsite
11,DevOps Specialist,$125055,"Jenkins, Monitoring Tools (Prometheus/Grafana), Docker, Linux","Rockville, MD",2,AstroTech,Remote
12,Senior Database Developer,$199615,"Microsoft Access, Performance Tuning, MySQL","Trenton, NJ",10,Oceanic Ventures,Hybrid
13,Senior Quality Assurance Engineer,$67423,"Test Plan Development, CI/CD, Bug Tracking Tools, Security Testing","Jersey City, NJ",6,Streamline Studios,Remote
14,Executive Mobile App Developer,$179939,"Mobile Development, App Store Optimization, React Native, Cross-Platform Development","Bismarck, ND",14,Cascade Communications,Remote
